company_name,address,phone,website,email,category,owner,primary_product,secondary_products,review_rating,review_count,opportunity_score,opportunity_reasons
HHH Security Services,"{""borough"":""Mayfair"",""street"":""58 6th Ave"",""city"":""Johannesburg"",""postal_code"":""2108"",""state"":"""",""country"":""ZA""}",011 431 0083,http://hhhsecurityservices.co.za/,"halimagora@gmail.com, Hoosenismail444@gmail.com",Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",5.000000,2,70,"Website, Email, Phone, Good Google Rating"
SSJ Security Services Johannesburg,"{""borough"":""New Redruth"",""street"":""17 Penzance St"",""city"":""Johannesburg"",""postal_code"":""1451"",""state"":"""",""country"":""ZA""}",010 216 9353,http://ssj.co.za/,,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.400000,11,50,"Website, Phone, Good Google Rating"
Maya Security,"{""borough"":""Selby"",""street"":""21 Village Rd"",""city"":""Johannesburg"",""postal_code"":""2001"",""state"":"""",""country"":""ZA""}",010 634 0642,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.800000,4,30,"Phone, Good Google Rating"
Maxi Security Johannesburg,"{""borough"":""Orange Grove"",""street"":""245 Louis Botha Ave"",""city"":""Johannesburg"",""postal_code"":""2192"",""state"":"""",""country"":""ZA""}",011 551 1600,http://maxisecurity.co.za/,info@maxisecurity.co.za,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",3.800000,36,70,"Website, Email, Phone, Established Reputation"
Goodwill Protection Services,"{""borough"":""New Doornfontein"",""street"":""Johannesburg Stadium, 124 Van Beek St"",""city"":""Johannesburg"",""postal_code"":""2094"",""state"":"""",""country"":""ZA""}",011 404 1446,http://www.goodwillprotection.co.za/,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.500000,4,50,"Website, Phone, Good Google Rating"
Vimba Security Services,"{""borough"":""Johannesburg"",""street"":""94 Helen Joseph St"",""city"":""Johannesburg"",""postal_code"":""2000"",""state"":"""",""country"":""ZA""}",067 937 1044,http://www.vimbasecurityservices.co.za/,,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",2.600000,23,50,"Website, Phone, Established Reputation"
(ASARS) Alert Security & Armed Response Services (Pty) LTD,"{""borough"":""Mayfair West"",""street"":""17 St Gothard Ave"",""city"":""Johannesburg"",""postal_code"":""2092"",""state"":"""",""country"":""ZA""}",011 482 1267,http://www.asars.co.za/,admin@asars.co.za,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",3.600000,24,70,"Website, Email, Phone, Established Reputation"
24/7 Security Services,"{""borough"":""Wynberg"",""street"":""8 Philo Rd"",""city"":""Sandton"",""postal_code"":""2090"",""state"":"""",""country"":""ZA""}",011 444 2237,https://24-7security.co.za/,info@24-7security.co.za,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.400000,271,85,"Website, Email, Phone, Good Google Rating, Established Reputation"
Easy Security & Guards,"{""borough"":""Sydenham"",""street"":""in details, 4 Pembroke St"",""city"":""Sandton"",""postal_code"":""2192"",""state"":"""",""country"":""ZA""}",011 640 1641,http://www.easysecurity.co.za/,info@easysecurity.co.za,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.200000,30,85,"Website, Email, Phone, Good Google Rating, Established Reputation"
CAP Community Active Protection - Armed Response and Offsite Monitoring,"{""borough"":""Houghton Estate"",""street"":""Marvel Grove, 2 Osborn Rd"",""city"":""Johannesburg"",""postal_code"":""2192"",""state"":"""",""country"":""ZA""}",086 122 7227,https://capcommunity.co.za/,,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.400000,426,65,"Website, Phone, Good Google Rating, Established Reputation"
Guardians Security,"{""borough"":""Norwood"",""street"":""11 Grant Ave"",""city"":""Johannesburg"",""postal_code"":""2192"",""state"":"""",""country"":""ZA""}",072 595 2002,http://guardians-security.co.za/,,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.100000,10,50,"Website, Phone, Good Google Rating"
Boss G Protection Services,"{""borough"":""Ferreiras Dorp"",""street"":""10 Anderson St"",""city"":""Johannesburg"",""postal_code"":""2107"",""state"":"""",""country"":""ZA""}",073 859 1853,https://www.bossgprotectionservices.co.za/,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",5.000000,1,50,"Website, Phone, Good Google Rating"
AMADUBE Security Services,"{""borough"":""New Doornfontein"",""street"":""5 Beacon St"",""city"":""Johannesburg"",""postal_code"":""2094"",""state"":"""",""country"":""ZA""}",011 492 7374,https://amadubesecurityservices.co.za/contact/,info@amadubeserityservices.co.za,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",5.000000,1,70,"Website, Email, Phone, Good Google Rating"
Hlanganani Protection Services (Pty) Ltd,"{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",011 309 7310,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.000000,25,45,"Phone, Good Google Rating, Established Reputation"
africas hand services,"{""borough"":""Lorentzville"",""street"":""88 Terrace Rd"",""city"":""Johannesburg"",""postal_code"":""2094"",""state"":"""",""country"":""ZA""}",011 618 9034,http://africashandservices.co.za/,"info@africashandservices.co.za, africashand@outlook.com",Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.600000,32,85,"Website, Email, Phone, Good Google Rating, Established Reputation"
Mudzimiri Security Services,"{""borough"":""Booysens"",""street"":""35 Koster St"",""city"":""Johannesburg"",""postal_code"":""2026"",""state"":"""",""country"":""ZA""}",011 395 5958,https://www.mudzimirisecurity.com/,"customercare@mudzimirisecurity.com, info@mudzimirisecurity.com",Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",5.000000,6,70,"Website, Email, Phone, Good Google Rating"
C F SECURITY SERVICES,"{""borough"":""Berea"",""street"":"""",""city"":""Johannesburg"",""postal_code"":""2198"",""state"":"""",""country"":""ZA""}",010 214 0161,http://www.cfsecurity.co.za/,info@makjus.co.za,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.000000,4,70,"Website, Email, Phone, Good Google Rating"
GOODWORK SECURITY & CLEANING SERVICES CC,"{""borough"":""Orange Grove"",""street"":""101 Forestall Centre, 207 Louis Botha Avenue"",""city"":""Johannesburg"",""postal_code"":""2192"",""state"":"""",""country"":""ZA""}",011 485 1751,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",3.500000,8,15,Phone
Red Alert Service Solutions,"{""borough"":""Lyndhurst"",""street"":""148 Johannesburg Rd"",""city"":""Johannesburg"",""postal_code"":""2192"",""state"":"""",""country"":""ZA""}",011 443 3306,http://www.redalert.co.za/,sales@redalert.co.za,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.000000,91,85,"Website, Email, Phone, Good Google Rating, Established Reputation"
sancserv security services,"{""borough"":""Turffontein"",""street"":""69 Turf Club St"",""city"":""Johannesburg"",""postal_code"":""2190"",""state"":"""",""country"":""ZA""}",011 568 6624,http://www.sancserv.co.za/,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",0.000000,0,35,"Website, Phone"
Tau Protection Services,"{""borough"":""City West"",""street"":""37 Lilian Rd"",""city"":""Johannesburg"",""postal_code"":""2092"",""state"":"""",""country"":""ZA""}",011 836 7955,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.600000,5,30,"Phone, Good Google Rating"
Red Eyes Security and Projects Pty Ltd,"{""borough"":""Johannesburg Central"",""street"":""and, 85 Eloff, Kerk St"",""city"":""Johannesburg"",""postal_code"":""2001"",""state"":"""",""country"":""ZA""}",065 616 5628,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.700000,3,30,"Phone, Good Google Rating"
Bongani Security Services,"{""borough"":""Marshalltown"",""street"":""5, 20 New St"",""city"":""Johannesburg"",""postal_code"":""2000"",""state"":"""",""country"":""ZA""}",011 834 7799,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",3.000000,1,15,Phone
Gwamasusu security services,"{""borough"":"""",""street"":""Klein St"",""city"":""Johannesburg"",""postal_code"":""2001"",""state"":"""",""country"":""ZA""}",073 262 4407,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",0.000000,0,15,Phone
TMS Guarding & Security,"{""borough"":""Wynberg Park"",""street"":""3 Maree St"",""city"":""Johannesburg"",""postal_code"":""2090"",""state"":"""",""country"":""ZA""}",010 880 2149,http://tmsguarding.co.za/,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",0.000000,0,35,"Website, Phone"
Knoxeyes security services,"{""borough"":""City Deep"",""street"":""83 Heidelberg Rd"",""city"":""Johannesburg"",""postal_code"":""2001"",""state"":"""",""country"":""ZA""}",011 623 5174,https://www.knoxeyesprotection.co.za/,info@knoxeyesprotection.co.za,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",3.700000,3,55,"Website, Email, Phone"
MKL SECURITY&CLEANING CC.,"{""borough"":""Johannesburg"",""street"":""67 Simmonds St"",""city"":""Johannesburg"",""postal_code"":""2000"",""state"":"""",""country"":""ZA""}",011 070 7128,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",5.000000,1,30,"Phone, Good Google Rating"
Izinyosi Security Services,"{""borough"":""Johannesburg"",""street"":""158 Market St"",""city"":""Johannesburg"",""postal_code"":""1451"",""state"":"""",""country"":""ZA""}",011 984 9299,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",3.600000,5,15,Phone
Shahs protection services,"{""borough"":""Ormonde"",""street"":""Berwyn Rd"",""city"":""Johannesburg"",""postal_code"":""2091"",""state"":"""",""country"":""ZA""}",060 710 0334,,,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",3.900000,14,15,Phone
T F S SECURITY AND CLEANING SERVICES,"{""borough"":""Berea"",""street"":""39 Abel Rd"",""city"":""Johannesburg"",""postal_code"":""2198"",""state"":"""",""country"":""ZA""}",081 580 7401,http://tshuxforceandcleaningservices.website3.me/,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",5.000000,2,50,"Website, Phone, Good Google Rating"
TAU Armed Response,"{""borough"":""Westdene"",""street"":""26 Thornton Rd"",""city"":""Johannesburg"",""postal_code"":""2092"",""state"":"""",""country"":""ZA""}",084 023 0638,,,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",5.000000,2,30,"Phone, Good Google Rating"
Tss Security Services,"{""borough"":""Parkwood"",""street"":""145 Jan Smuts Ave"",""city"":""Johannesburg"",""postal_code"":""2193"",""state"":"""",""country"":""ZA""}",073 141 5875,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",2.500000,8,15,Phone
Top Tactical Team,"{""borough"":""Marshalltown"",""street"":""58 Marshall St"",""city"":""Johannesburg"",""postal_code"":""2001"",""state"":"""",""country"":""ZA""}",078 224 2909,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.800000,4,30,"Phone, Good Google Rating"
Mabotwane Security Services,"{""borough"":""Doornfontein"",""street"":""74 Kerk St"",""city"":""Johannesburg"",""postal_code"":""2000"",""state"":"""",""country"":""ZA""}",073 450 2261,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",5.000000,1,30,"Phone, Good Google Rating"
Big-Screen Secure Solutions,"{""borough"":""Johannesburg"",""street"":""OFFICE NO.408 FOCUS HOUSE FOURTH FLOOR, 86 Loveday St"",""city"":""Johannesburg"",""postal_code"":""2001"",""state"":"""",""country"":""ZA""}",083 332 5306,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.000000,4,30,"Phone, Good Google Rating"
TDR SECURITY SERVICES,"{""borough"":""Selby South"",""street"":""Office 5003, Teba Park, Block D, 121 Elofff Street Extension"",""city"":""Johannesburg"",""postal_code"":""2001"",""state"":"""",""country"":""ZA""}",011 339 7985,https://www.tdrsecurity.co.za/,,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",3.500000,2,35,"Website, Phone"
Scheme security services,"{""borough"":""Rosettenville"",""street"":""81 Prairie St"",""city"":""Johannesburg"",""postal_code"":""2190"",""state"":"""",""country"":""ZA""}",011 435 2503,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",5.000000,2,30,"Phone, Good Google Rating"
City T Security and Cleaning,"{""borough"":""Berea"",""street"":""87 Honey St"",""city"":""Johannesburg"",""postal_code"":""2000"",""state"":"""",""country"":""ZA""}",082 542 0275,https://www.citytsecurityservices.co.za/,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",3.000000,2,35,"Website, Phone"
Mabotwane Security Group,"{""borough"":""Doornfontein"",""street"":""17 Beit St"",""city"":""Johannesburg"",""postal_code"":""2028"",""state"":"""",""country"":""ZA""}",011 333 7002,,,Corporate office,Gary,Elula BizHub,"Elula Mobile, Red XRay",3.400000,144,30,"Phone, Established Reputation"
GNS Security Services,"{""borough"":""Braampark"",""street"":""3rd Floor, Forum III, 33 Hoofd St"",""city"":""Johannesburg"",""postal_code"":""2017"",""state"":"""",""country"":""ZA""}",081 270 6802,,,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",5.000000,2,30,"Phone, Good Google Rating"
G a Security,"{""borough"":""Cnr"",""street"":""2nd Floor , 92 Von Welligh Street, Lilian Ngoyi St"",""city"":""Alberton"",""postal_code"":""2000"",""state"":"""",""country"":""ZA""}",011 333 7265,,,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.000000,2,30,"Phone, Good Google Rating"
MAFEFERA SECURITY SOLUTIONS,"{""borough"":""Johannesburg"",""street"":""Phase 10, 155 21st Avenue"",""city"":""Johannesburg"",""postal_code"":""2090"",""state"":"""",""country"":""ZA""}",011 264 1302,,,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",5.000000,2,30,"Phone, Good Google Rating"
Delta Tactical Security,"{""borough"":""Crosby"",""street"":""59 Moira Ave"",""city"":""Johannesburg"",""postal_code"":""2092"",""state"":"""",""country"":""ZA""}",011 021 2299,http://www.delta-tactical.co.za/,info@delta-tactical.co.za,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.600000,39,85,"Website, Email, Phone, Good Google Rating, Established Reputation"
RISENGA SECURITY AND TRAINING SERVICES,"{""borough"":""Johannesburg"",""street"":""53 Commissioner Street, Corner Commissioner And, Eloff St"",""city"":""Johannesburg"",""postal_code"":""2000"",""state"":"""",""country"":""ZA""}",010 023 2005,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",2.300000,3,15,Phone
X and G Security Services,"{""borough"":""Bedfordview"",""street"":""1 Townsend St"",""city"":""Johannesburg"",""postal_code"":""2091"",""state"":"""",""country"":""ZA""}",087 131 0617,https://www.xandgsecurity.co.za/,info@xandgsecurity.co.za,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",5.000000,10,70,"Website, Email, Phone, Good Google Rating"
Zimbali Security Services,"{""borough"":""Braamfontein"",""street"":""Nedbank Corner, 96 Jorissen St"",""city"":""Johannesburg"",""postal_code"":""2017"",""state"":"""",""country"":""ZA""}",011 072 5973,,,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",5.000000,2,30,"Phone, Good Google Rating"
Beta Security Services,"{""borough"":""Observatory"",""street"":""62 Observatory Ave"",""city"":""Johannesburg"",""postal_code"":""2198"",""state"":"""",""country"":""ZA""}",087 822 1298,https://www.beta-group.co.za/,info@beta-group.co.za,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",2.300000,3,55,"Website, Email, Phone"
TYME-UP SECURITY SERVICES (PTY) LTD,"{""borough"":""Marshalltown"",""street"":""House, Office 301-303, 12 Kruis Street , Factor"",""city"":""Johannesburg"",""postal_code"":""2001"",""state"":"""",""country"":""ZA""}",011 618 9648,http://tyme-upsecurity.co.za/,info@tyme-upsecurity.co.za,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",5.000000,1,70,"Website, Email, Phone, Good Google Rating"
Khopha Security Services,"{""borough"":""Mansion"",""street"":""House,Office 201, 132 Albertina Sisulu Rd"",""city"":""Johannesburg"",""postal_code"":""2001"",""state"":"""",""country"":""ZA""}",011 333 7489,,,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",5.000000,2,30,"Phone, Good Google Rating"
K20 SECURITY COMPANY,"{""borough"":""Berea"",""street"":""39 Alexandra St"",""city"":""Johannesburg"",""postal_code"":""2198"",""state"":"""",""country"":""ZA""}",084 247 7229,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",5.000000,2,30,"Phone, Good Google Rating"
Gwhambi Security Services (GSS),"{""borough"":""Johannesburg"",""street"":""107 Albertina Sisulu street, Elephant Building"",""city"":""Johannesburg"",""postal_code"":""2001"",""state"":"""",""country"":""ZA""}",011 025 9042,,,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",0.000000,0,15,Phone
Maxim Security,"{""borough"":"""",""street"":""112 7th Ave"",""city"":""Edenvale"",""postal_code"":""1609"",""state"":"""",""country"":""ZA""}",010 140 3949,http://www.maximsecurity.co.za/,sales@maximsecurity.co.za,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.600000,22,85,"Website, Email, Phone, Good Google Rating, Established Reputation"
Wiseguard Security Services,"{""borough"":""Orange Grove"",""street"":""151 Louis Botha Ave"",""city"":""Johannesburg"",""postal_code"":""2000"",""state"":"""",""country"":""ZA""}",011 728 8446,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",5.000000,2,30,"Phone, Good Google Rating"
Para2 Security Services,"{""borough"":""Hillbrow"",""street"":""Henco Building, 115 Pritchard St"",""city"":""Johannesburg"",""postal_code"":""2001"",""state"":"""",""country"":""ZA""}",011 333 0972,,,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",5.000000,1,30,"Phone, Good Google Rating"
Thabang Security Services,"{""borough"":""Johannesburg CBD"",""street"":""202, Ottawa Mall, 94 Helen Joseph St"",""city"":""Johannesburg"",""postal_code"":""2001"",""state"":"""",""country"":""ZA""}",011 054 0713,,,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",3.000000,2,15,Phone
Big brother projects and security services pty ltd.,"{""borough"":""turffontien"",""street"":""62 Tramway St, Johannesburg South, 2190"",""city"":""Johannesburg"",""postal_code"":""2190"",""state"":"""",""country"":""ZA""}",011 683 0225,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.500000,4,30,"Phone, Good Google Rating"
Legacy Close protection services,"{""borough"":""Johannesburg"",""street"":""Warehouse 3, Mr Builder Centre, Kerk St"",""city"":""Koppies"",""postal_code"":"""",""state"":"""",""country"":""ZA""}",076 798 0096,,,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",5.000000,4,30,"Phone, Good Google Rating"
Blue eye security services,"{""borough"":""Glenvista"",""street"":""17 Bellairs Dr"",""city"":""Johannesburg South"",""postal_code"":""2091"",""state"":"""",""country"":""ZA""}",,http://blueeyesecurity.co.za/,,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.400000,16,35,"Website, Good Google Rating"
Ultra force-Security,"{""borough"":""Bertrams"",""street"":""2 Terrace Rd"",""city"":""Johannesburg"",""postal_code"":""2094"",""state"":"""",""country"":""ZA""}",011 404 5323,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",5.000000,2,30,"Phone, Good Google Rating"
106 Pritchard Street Tirhani Security Training & Guarding,"{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",011 338 5571,http://www.tirhanisecurity.co.za/,,,Gary,Elula BizHub,"Elula Mobile, Red XRay",3.800000,15,35,"Website, Phone"
Olympus Protection Services,"{""borough"":""Bassonia"",""street"":""29 Soetdoring Ave"",""city"":""Johannesburg South"",""postal_code"":""2061"",""state"":"""",""country"":""ZA""}",011 791 6594,http://www.olympusprotectionservices.com/,"admin1@olympusprotectionservices.com, %20admin1@olympusprotectionservices.com",Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.200000,56,85,"Website, Email, Phone, Good Google Rating, Established Reputation"
Sambo Security Services,"{""borough"":""Jeppestown"",""street"":""1-3 City and Suburban St"",""city"":""Johannesburg"",""postal_code"":""2094"",""state"":"""",""country"":""ZA""}",011 334 9942,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",5.000000,1,30,"Phone, Good Google Rating"
BBR Masilo Security Services,"{""borough"":""Marshalltown"",""street"":""210 Silly Sachs Building, 110 Commissioner St"",""city"":""Johannesburg"",""postal_code"":""2000"",""state"":"""",""country"":""ZA""}",087 149 1486,https://www.bbrmasilo.co.za/,,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",0.000000,0,35,"Website, Phone"
South End Security Services CC,"{""borough"":""Unigray"",""street"":""53 Salmon Rd"",""city"":""Johannesburg"",""postal_code"":""2197"",""state"":"""",""country"":""ZA""}",011 613 6703,https://southendsecurity.co.za/,info@southendsecurity.co.za,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.300000,39,85,"Website, Email, Phone, Good Google Rating, Established Reputation"
Professional Protection Security Services,"{""borough"":""Newtown"",""street"":""14, Rona Bree Taxi Rank Mall, 37 Bree And Sauer Street"",""city"":""Johannesburg"",""postal_code"":""2196"",""state"":"""",""country"":""ZA""}",072 577 5360,,,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.500000,4,30,"Phone, Good Google Rating"
Peace Star Security Services,"{""borough"":""Bramley"",""street"":""600 Louis Botha Ave"",""city"":""Johannesburg"",""postal_code"":""2090"",""state"":"""",""country"":""ZA""}",011 440 7884,http://www.peacestarsecurity.co.za/,info@peacestarsecurity.co.za,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.600000,9,70,"Website, Email, Phone, Good Google Rating"
Arcangel Protection Services,"{""borough"":""Bagleyston"",""street"":""7 Valerie Cres"",""city"":""Johannesburg"",""postal_code"":""2192"",""state"":"""",""country"":""ZA""}",010 634 2367,https://www.arcangel.co.za/,"user@domain.com, hello@arcangel.co.za",Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.800000,13,70,"Website, Email, Phone, Good Google Rating"
Fingwa Security Services,"{""borough"":""Kenilworth"",""street"":""212 Turf Club St"",""city"":""Johannesburg"",""postal_code"":""2000"",""state"":"""",""country"":""ZA""}",078 286 2574,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.000000,1,30,"Phone, Good Google Rating"
Spartan International,"{""borough"":""Birnam"",""street"":""5 Willow Brook St"",""city"":""Johannesburg"",""postal_code"":""2196"",""state"":"""",""country"":""ZA""}",010 142 2911,http://spartansa.co.za/,info@spartansa.co.za,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",5.000000,66,85,"Website, Email, Phone, Good Google Rating, Established Reputation"
Oblion Shield T/A Toutela Events Bodyguards and Security Services,"{""borough"":""Parktown"",""street"":""4 Paul Nel St"",""city"":""Johannesburg"",""postal_code"":""2001"",""state"":"""",""country"":""ZA""}",072 964 3568,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",5.000000,1,30,"Phone, Good Google Rating"
Harvey Security Services,"{""borough"":""Braamfontein"",""street"":""Suite 2126, 21st Floor Office, 222 Smit St"",""city"":""Johannesburg"",""postal_code"":""2000"",""state"":"""",""country"":""ZA""}",010 005 4536,http://harveysecurity.co.za/,"info@harveysecurity.co.za, harvey@harveysecurity.co.za",Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",3.000000,2,55,"Website, Email, Phone"
INGWEMPISI SECURITY SERVICES,"{""borough"":""Marshalltown"",""street"":""151 Commissioner Street, 301 Klamson Towers"",""city"":""Johannesburg"",""postal_code"":""2001"",""state"":"""",""country"":""ZA""}",011 331 6112,,,Security guard service,Gary,Elula BizHub,"Elula Mobile, Red XRay",5.000000,1,30,"Phone, Good Google Rating"
Stallion Security Company,"{""borough"":""Bruma"",""street"":""10 S Blvd Rd"",""city"":""Johannesburg"",""postal_code"":""2198"",""state"":"""",""country"":""ZA""}",011 533 8888,http://www.stallion.co.za/,,Security service,Gary,Elula BizHub,"Elula Mobile, Red XRay",4.000000,261,65,"Website, Phone, Good Google Rating, Established Reputation"
